name,rai,lat,lon
สวนวารีภิรมย์,121,13.849211,100.775046
สวนนวมินทร์ภิรมย์,76,13.784059,100.648072
สวนธนบุรีรมย์,63,13.651869,100.491408
สวนกีฬารามอินทรา,59,13.878704,100.620806
สวนทวีวนารมย์,54,13.744386,100.352302
สวน 60 พรรษา สมเด็จพระนางเจ้า,52,13.763037,100.732277
สวนพระนคร,50,13.719191,100.781236
สวนปทุมวนานุรักษ์,40,13.749009,100.537919
สวนวนธรรม ,38,13.683037,100.656967
สวนหนองจอก,35,13.854141,100.858998
สวนวัชราภิรมย์,34,13.851895,100.639468
สวนรมณีนาถ,29,13.748828,100.502581
สวนสาธารณะเฉลิมพระเกียรติ 60 รอบพระชนมพรรษา,29,13.686268,100.517924
อุทยานเบญจสิริ,29,13.730493,100.567288
สวนหลวงพระราม 8,24,13.769376,100.494784
